,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
144,Seasonal Orchard Workers - Cherry Harvest,371,Suncrest Orchard,"Cromwell, New Zealand",2022-09-05,Stonefruit (including Cherries),Expressions of Interest,20,2022-12-05,2023-01-31,$21.20 + 8% holiday pay,"Accommodation, Transport, End of season bonuses, Free Wifi","Suncrest Orchard is a key player in the Central Otago cherry industry and we have been exporting premium cherries for over 20 years. We are seeking physically fit, motivated and enthusiastic individuals to join our harvest teams for the 2022-23 cherry export season. We have continuous work available from early December until the end of […]"
145,Orchard Accommodation Cleaner (Flexible 6 hours per week),157,Willisbrook Orchards,"Brightwater, New Zealand",2022-09-05,Other,Need Staff Now,1,2022-09-05,2023-01-31,25,,"We are looking for an enthusiastic permanent part time cleaner and handyperson to join our friendly team.  The role will include general cleaning of various premises including bathrooms & floors  for our orchard accommodation and offices. Also included are general duties including restocking of supplies in bathrooms, changing light bulbs and mouse traps, etc. The […]"
146,Fruit Thinner,145,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-05,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
147,Cherry Pickers,496,Eden orchards,"825 Waihooai valley road, Marlborough, New Zealand",2022-09-03,Stonefruit (including Cherries),Expressions of Interest,6,2022-12-05,2022-12-24,$25 plus,"Flexi rosters, Free Wifi, Social club / staff events","Wanted 6 to 8 cherry pickers , good picking conditions. From the 5th of December to the 24th , 6 days a week from 7 am to 4.30pm . Payment for pickers will range from a minimum of $240 a day to over $400 day for a good picker. Accommodation supplement is also offered. www.edenorchards.co.nz […]"
148,Hop Planting,313,Pikimai Hops,"96 Newport Road, TAPAWERA, New Zealand",2022-09-02,Other,Need Staff Soon,8,2022-09-12,2022-10-17,$21.20- $24.00 per hour,Accommodation,Planting from mid September until approx mid October. We will provide the necessary training. Starlink internet.    
149,Blueberry Pickers Recruitment 2022,687,Miro-Meihana Koata LP,"Te Teko, New Zealand",2022-09-02,Berries,Need Staff Now,150,2022-10-10,2022-12-30,Piece Rate,,"Nau mai, haere mai ki Miro! We’re looking for good pickers and harvest supervisors for our Te Teko orchards, Bay of Plenty starting early October through to December 2022. Picking rate will be piece rate. You must be prepared to work in a Covid-safe environment (social distancing, good hygiene), be hard working, reliable, able to work harmoniously with others, have a good attitude and follow instructions. You must […]"
150,Cherry Pickers,431,P H Kinzett Limited,"Blenheim, New Zealand",2022-09-02,Stonefruit (including Cherries),Need Staff Soon,30,2022-11-20,2022-12-23,$21.20 + 8%,"Bucket/bin rate bonuses, Free Wifi",Cherryland are looking for expressions of interest and currently filling roles for the upcoming Cherry Harvest. The estimated start date is between 20th Nov- 25th Nov – to  approx. 23rd December 2022. Previous contract picking experience with fruit/ vegetables preferred but not essential. Just a good can do positive attitude and you need to be physically […]
151,Seasonal Tractor Driver,125,Vinewise Viticulture Ltd,"Cromwell, New Zealand",2022-09-01,Winegrowing,Expressions of Interest,5,2022-10-17,2023-04-30,25,,"Experienced Vineyard Tractor Driver needed for Spring/Summer. You will have at least two years vineyard machinery experience in a vineyard setting, ideally spraying. You must have a full drivers license and ideally a Growsafe Certificate. Work is based in and around Cromwell, Central Otago. Hours can be full time or part time. Competitive payrates, depending […]"
152,Asparagus Packhouse Worker,416,Farmhands,"Ashburton, New Zealand",2022-09-01,Vegetables,Need Staff Now,24,2022-10-04,2022-12-24,24,,Do you want to work for 3 months? Looking for an indoor job? Apply online here: https://forms.gle/2RTFoiJe7BNTWxzu9 Leaderbrand South Island has Asparagus Packhouse Jobs available. Come join us! Start work early October 30-55 hour weeks Day shift 7:30am start 6 days per week Our packhouse is located close to Ashburton. No experience required. Pay: $24 […]
153,Immediate Start - Mushroom Pickers Needed,807,Madahar Agriforce Limited,"Pukekawa, New Zealand",2022-09-01,Other,Need Staff Now,10,2022-09-02,2023-09-30,$22.00 and above depending on experience,"Transport, End of season bonuses","Immediate Start – Mushroom Pickers Needed. We are looking to hire workers with an immediate start, to work in the purpose-built Mushroom factory. The facility has a clean and pleasant working environment. The Role includes: Picking mushrooms Indoor work. Attention to detail Full Training is given.  The Opportunity: On-going contract positions available Work available 5 […]"
154,Irrigation installation,146,Irrigation Services Orchards Ltd,"450 Lawn RD, RD10, Hastings, New Zealand",2022-09-01,Apples and Pears,Need Staff Now,2,2022-09-12,2022-12-23,$23.00 plus 8% holiday pay,Transport,"Help needed to establish microsprinkler irrigation on apple orchard.  Join a great crew!  No previous experience needed, but a can-do attitude essential. No previous experience is required.  We will train you on the job. Bright and early start 7am, 5 days a week."
155,Fruit tree planting,282,Irrigation Services Orchards Ltd,"450 Lawn RD, RD10, Hastings, New Zealand",2022-09-01,Apples and Pears,Need Staff Now,5,2022-09-05,2022-10-31,$22.75 plus 8% holiday pay,Transport,"Help needed to establish 10 hectares of new plantings for family owned orchard.  Orchards close to Hastings and Havelock North.  Living wage paid. No experience needed, we will train you on the job!"
156,PHP Developer,135,PayID Casinos,"190 Meola Road, Western Springs, Auckland 1022, Auckland, New Zealand",2022-08-31,Other,Need Staff Soon,1,2022-08-31,2023-08-31,$30000 per year,Flexi rosters,"PayID Casinos is an online casino ranking company in Australia and New Zealand. Today we are looking for a PHP developer to take over our website. What we expect from you: Ability to integrate CRM (teachable); API handling (excellent training); PHP (basic skills); HTML, web design; Willingness to develop, not to stand in one place; […]"
157,HOP PLANTING - start next week!,332,Nelson Hops NZ Limited,"148 Tadmor- Valley Road, Tapawera, New Zealand",2022-08-31,Other,Need Staff Now,3,2022-09-07,2022-09-23,$22.90 inc h/p,"Accommodation, Transport, Free Wifi",We are looking for 3 team members to join the planting team at our Hop Farms for the upcoming Spring planting! Hourly rate – $22.90 Hours – 7.30-5pm approx Days – 5/6 days a week 2-3 weeks work with opportunity to stay on until December Van transport from accommodation to farm free of charge Accommodation […]
158,Organic Kiwifruit Orchard Work,539,Kiwipollen Ltd.,"427 Te matai Road, Te puke, New Zealand",2022-08-30,Kiwifruit,Need Staff Soon,20,2022-09-26,2023-02-28,$26,,"Organic Kiwifruit Orchard Work We have a job opportunity for you in the Bay of Plenty from the end of September with continuous work for the summer. No previous experience required; training provided. Pay rate of $26 per hour included 8% holiday pay. This is on our family orchard, and you will be working directly […]"
159,Vintage 2023 Giesen,340,Giesen Group,"Blenehim, New Zealand",2022-08-29,Winegrowing,Need Staff Soon,20,2023-02-15,2023-05-02,$22 per hour +,,"Vintage Crew 2023 Want to work with an Iconic New Zealand Brand and a multi award winning business? Want to contribute in an outstanding team environment? Want to improve your winemaking experience in one of New Zealand’s most stunning places? If so, then read on… Firstly, a bit about us –   The Giesen Group […]"
160,Asparagus Packhouse,337,Leaderbrand South Island,"Ashburton, New Zealand",2022-08-29,Other,Need Staff Soon,20,2022-09-30,2022-12-31,$21.20 + bonus + 8%,"Bucket/bin rate bonuses, End of season bonuses",Do you want to work for 3 months? Looking for an indoor job? Want to extend your visa with horticultural work? Apply online here: https://forms.gle/gGBdXaRjxS236m1p8 Leaderbrand South Island has Asparagus Packhouse Jobs available! Come join us! Start work early October 40 hour weeks Day shift 7:30am start $21.20 / hour + bonus + 8% holiday […]
161,Kiwifruit Pruners,203,Cooper Coolpac Ltd,"24 Riverbank Road RD3, Wanganui, New Zealand",2022-08-29,Kiwifruit,Need Staff Now,15,2022-08-31,2022-09-30,$18.50 per Bay plus Holiday pay.,,We have green Kiwifruit that needs to be pruned. The orchard is right on the town boundary of Wanganui. They are 20 square meter bays on a well maintained orchard. Immediate start .
162,"Summer Opportunities - Apples, Kiwifruit, Boysenberries",580,Wai-West Horticulture Ltd,"53 Moutere Highway, Appleby, Richmond, New Zealand",2022-08-28,Other,Need Staff Soon,40,2022-11-14,2023-01-27,$22.10 + Holiday Pay,,"Are you interested and available for work from Mid November through to Mid January? We have opportunities coming up for the Summer season on our Apple, Kiwifruit & Boysenberry orchards just 8km out of Richmond. If you love the outdoors and want some extra cash for Christmas or for next year at University, we’d love to have […]"
163,Fruit Thinner,236,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-08-28,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
164,Seasonal roles in medicinal cannabis,622,Puro New Zealand,"Kekerengu, New Zealand",2022-08-26,Other,Expressions of Interest,15,2023-03-20,2023-05-12,$24 per hour,Transport,"With sites in the beautiful Waihopai Valley region of Marlborough and at Kēkerengū on the stunning Kaikōura coast, Puro are setting out to become New Zealand’s premier cultivator of high-grade medicinal cannabis. Our organic, sustainable approach at Kēkerengū ensures we can deliver the best quality product to our customers while still respecting and nurturing the […]"
165,Blueberry Packhouse,671,Mill Creek Orchard Ltd,"1011 Motueka River Westbank Road, Motueka, Motueka, New Zealand",2022-08-26,Berries,Expressions of Interest,6,2022-11-01,2023-05-31,23 per hour + holiday pay,,We are taking expressions of interest for our upcoming harvest. We have positions available in our packhouse starting beginning of November until the end of May depending on the weather. This is a fun working environment. Hours are generally between 7am and 5pm and sometimes half a day on Saturday if needed.
166,Pruning Staff needed now,249,Mill Creek Orchard Ltd,"1011 Motueka River Westbank Road, Motueka Valley, Motueka, New Zealand",2022-08-26,Berries,Need Staff Now,4,2022-08-29,2022-10-28,23,,"We have a few vacancies for pruning Blueberries in the beautiful Motueka valley from now until the end of October. Must be reliable and have your own transport and accommodation. This work is weather dependent, reasonable fitness is required. $23 per hour + holiday pay    "
167,Orchard Superstars,256,Taylor Corp,"Napier, New Zealand",2022-08-25,Apples and Pears,Need Staff Soon,6,2022-08-26,2022-09-30,$22-30 dependent on experience,,Permanent Orchard Superstars: Supervisors and Orchard Workers Needed We are Taylor Corporation New Zealand.  We are proud to be a family owned and operated global supplier of premium apples.  We have a dedicated team of passionate people ensuring the Taylor brand stands for quality and excellence from the tree to the shelf. It’s our name […]
168,Seasonal Packhouse Workers - Fixed Term,469,Gourmet Paprika,"1124 Forest Road, Mokai, New Zealand",2022-08-24,Vegetables,Need Staff Now,10,2022-08-29,2023-05-26,21.20,,"Gourmet Mokai is located 30kms north west of Taupo. We are on the lookout for reliable, fit and energetic staff to join our busy packhouse team on a fixed-term basis until late May to help us through our busy season. Packing and Grading hours are from 7.30am to 5.00pm Monday to Sunday, and we even […]"
169,Cherry Pickers,558,Cherry Tree Grove Ltd,"Hammerichs Road, Blenheim, New Zealand",2022-08-23,Stonefruit (including Cherries),Expressions of Interest,6,2022-11-24,2022-12-24,$21.20 per hour,,"The Marlborough cherry harvest starts approximately around the 24 November to 24 December. Cherry Tree Grove Ltd is looking for keen, motivated cherry pickers. Pickers start at 6.30am and finish at 3pm daily, during harvest. We don’t pick in wet weather. Pickers are paid $21.20 per hour or paid per kilo, so the more you […]"
